"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"125","0010",3542,14,56812,"2022-04-17 23:36:00.688",482
"126","0021",42990,673,56812,"2022-04-17 23:36:00.688",4456845
"127","0022",23863,72,56812,"2022-04-17 23:36:00.688",195732
"128","0023",13520,83,56812,"2022-04-17 23:36:00.688",7305
"129","0024",19729,72,56812,"2022-04-17 23:36:00.688",212
"130","0025",29411,159,56812,"2022-04-17 23:36:00.688",8397
"131","0026",35638,106,56812,"2022-04-17 23:36:00.688",47303
"132","0027",42145,234,56812,"2022-04-17 23:36:00.688",5028865
"133","0028",24452,64,56812,"2022-04-17 23:36:00.688",66379
"134","0040",42799,223,56812,"2022-04-17 23:36:00.688",10118022
"135","0044",17241,11,56812,"2022-04-17 23:36:00.688",246794
"136","0047",7705,4,56812,"2022-04-17 23:36:00.688",7220
"137","0048",4351,3,56812,"2022-04-17 23:36:00.688",8274
"138","03DF",28367,11,56812,"2022-04-17 23:36:00.688",397531
"139","0001",31955,127,56816,"2022-04-18 00:34:42.013",43655
"140","0003",37997,103,56816,"2022-04-18 00:34:42.013",125964
"141","0004",20831,149,56816,"2022-04-18 00:34:42.013",25464
"142","0005",42313,69,56816,"2022-04-18 00:34:42.013",2155356
"143","0006",6243,55,56816,"2022-04-18 00:34:42.013",22761
"144","0009",40970,193,56816,"2022-04-18 00:34:42.013",14738696
"145","000A",5126,4,56816,"2022-04-18 00:34:42.013",434
"146","000B",2134,14,56816,"2022-04-18 00:34:42.013",7535
"147","000C",4879,14,56816,"2022-04-18 00:34:42.013",19127
"148","0010",3542,14,56816,"2022-04-18 00:34:42.013",331
"149","0021",42990,673,56816,"2022-04-18 00:34:42.013",4665197
"150","0022",23864,72,56816,"2022-04-18 00:34:42.013",135609
"151","0023",13520,83,56816,"2022-04-18 00:34:42.013",4817
"152","0024",19730,72,56816,"2022-04-18 00:34:42.013",358
"153","0025",29412,159,56816,"2022-04-18 00:34:42.013",14615
"154","0026",35639,106,56816,"2022-04-18 00:34:42.013",50764
"155","0027",42146,234,56816,"2022-04-18 00:34:42.013",6147044
"156","0028",24453,64,56816,"2022-04-18 00:34:42.013",58630
"157","0040",42800,223,56816,"2022-04-18 00:34:42.013",10769373
